sureh,ayeh,matn,processed matn
6,73,و او کسی است که آسمان‌ها و زمین را به حقّ آفرید و روزی که بگوید: موجود شو، بی‌درنگ، موجود می‌شود. سخن او حقّ است. [و روز قیامت،] روزی که در صور دمیده می‌شود، حکومت، تنها از آنِ اوست. دانای غیب و شهود است. و اوست حکیم و آگاه.,آسمان زمین حق آفرید روزید گفت موجود شو بی‌درنگ موجود سخن حق روز قیامت روزید صور دمیده حکومت اوست دانا غیب شهود اوست حکیم آگاه 
18,99,و در آن روز [پایان جهان]، مردم را رها می‌کنیم تا بعضی در بعضی همچون موج درآمیزند، و [چون] در صور دمیده شود، همه را یکجا گرد خواهیم آورد.,روز پایان جهان مردم رها موج درآمیزند صور دمیده یکجا گرد خواست 
20,102,روزی که در صور دمیده می‌شود و ما در آن روز، مجرمان را با چشمان تیره محشور می‌کنیم.,روزید صور دمیده روز مجر چشمان تیره محشور 
23,101,پس آن‌گاه که در صور دمیده شود، در آن روز، نه میانشان خویشاوندی است، و نه [از حال یکدیگر] می‌پرسند.,آن‌گاه صور دمیده روز میان خویشاوندی پرسید 
27,87,و [یاد کن] روزی که در صور دمیده شود، پس هرکه در آسمان‌ها و هر که در زمین است، به هراس می‌افتد، مگر آن کس که خدا بخواهد. و همگی خاضعانه نزد او می‌آیند.,یاد کن روزید صور دمیده هرکه آسمان زمین هراس افتاد مگر کس خدا خواست همگی خاضعانه نزد آمد 
36,51,و در صور دمیده شود، پس ناگاه آنان از گورها [برخاسته،] شتابان به سوی پروردگارشان می‌آیند.,صور دمیده ناگاه گور برخاسته شتابان پروردگار آمد 
39,68,و در صور می‌دمند، پس هر که در آسمان‌ها و هر که در زمین است، بی‌هوش می‌شود، [و می‌میرد،] مگر آن کس را که خدا بخواهد. سپس بار دیگر در آن دمیده می‌شود، پس ناگاه آنان [زنده] برپا می‌خیزند و [به اطراف] می‌نگرند.,صور می‌دمند آسمان زمین بی‌هوش مرد مگر کس خدا خواست دمیده ناگاه زنده برپا خاست اطراف نگریست 
50,20,و در صور [رستاخیز] دمیده شود: «این است روز تحقّق وعده‌ی عذاب!»,صور رستاخیز دمیده روز تحقق وعده عذاب 
50,42,روزی که آن صیحه‌ی راستین را [از صور اسرافیل] بشنوند. آن روز، روز رستاخیز است.,روزید صیحه راستین صور اسرافیل شنفت روز روز رستاخیز 
69,13,پس آن‌گاه که در صور یک بار دمیده شود،,آن‌گاه صور یک‌بار دمیده 
74,8,پس هنگامی که در صور دمیده شود.,هنگامی‌که صور دمیده 
78,18,روزی که در صور دمیده می‌شود و گروه گروه می‌آیید.,روزید صور دمیده گروه گروه آمد 
