sureh,ayeh,matn,processed matn
4,76,کسانی که ایمان آورده‌اند، در راه خدا جهاد می‌کنند و کسانی که کافر شده‌اند، در راه طاغوت می‌جنگند. پس با دوستان و یاران شیطان پیکار کنید [و بیم نداشته باشید،] زیرا نیرنگ شیطان سست و ضعیف است.,ایمان آورد خدا جهاد کافر شد طاغوت جنگید دوستان یاران شیطان پیکار بیم نداشته باشید نیرنگ شیطان سست ضعیف 
8,73,و کسانی که کفر ورزیدند، یاران یکدیگرند. اگر شما [هم میان خود، همبستگی] نداشته باشید، فتنه و فساد بزرگی در زمین واقع خواهد شد.,کفر ورزید یاران یکدیگرند همبستگی نداشته باشید فتنه فساد بزرگی زمین واقع خواست 
20,135,بگو: «هر یک [از ما و شما] در انتظاریم، پس انتظار بکشید که به زودی خواهید دانست یاران راه راست کیانند و چه کسی راه یافته است.»,بگو انتظار انتظار کشت زودی خواست یاران راست کیانند راه‌یافته 
26,61,پس زمانی كه دو گروه، یکدیگر را دیدند، یاران موسی گفتند: «آنان به ما دست خواهند یافت.»,زمانی گروه دید یاران موسی گفت دست خواست 
37,58,[سپس به یاران بهشتی خود می‌گوید:] «آیا ما [برای همیشه در بهشتیم، و] دیگر نمی‌میریم؟,یاران بهشتی بهشت نمی‌میریم؟ 
56,27,و یاران [راست که کارنامه‌ی آنان را به دست راستشان می‌دهند]، چه [سعادتمندند] یاران راست!,یاران راست کارنامه دست راست سعادتمندند یاران راست 
56,38,برای یاران راست است.,یاران راست 
56,41,و یاران چپ [که کارنامه‌ی آنان را به دست چپشان می‌دهند]، چه [شوربختند] یاران چپ!,یاران چپ کارنامه دست چپ شوربختند یاران چپ 
56,90,و امّا اگر از یاران راست باشد،,یاران راست 
56,91,[به او گفته می‌شود:] «از سوی یاران راست، به تو سلام باد!»,یاران راست سلام باد 
74,39,مگر یاران [سعادتمندی که کارنامه‌ی آنان را به دست] راست [آنها می‌دهند]،,مگر یاران سعادتمند کارنامه دست راست 
90,18,آنانند یاران [سعادتمندی که کارنامه‌ی آنان را به دست] راست [آنها می‌دهند].,آنانند یاران سعادتمند کارنامه دست راست 
90,19,و کسانی که به آیات ما کافر شدند، یاران شومی و شقاوت هستند.,آیات کافر یاران شومی شقاوت 
